var,all_models_p_05,all_models_coef_pos_05,all_models_coef_neg_05,all_models_coef_min_05,all_models_coef_max_05,all_models_p_01,all_models_coef_pos_01,all_models_coef_neg_01,all_models_coef_min_01,all_models_coef_max_01,Y_models_p_05,Y_models_coef_pos_05,Y_models_coef_neg_05,Y_models_coef_min_05,Y_models_coef_max_05,Y_models_p_01,Y_models_coef_pos_01,Y_models_coef_neg_01,Y_models_coef_min_01,Y_models_coef_max_01,Q_models_p_05,Q_models_coef_pos_05,Q_models_coef_neg_05,Q_models_coef_min_05,Q_models_coef_max_05,Q_models_p_01,Q_models_coef_pos_01,Q_models_coef_neg_01,Q_models_coef_min_01,Q_models_coef_max_01,B_models_p_05,B_models_coef_pos_05,B_models_coef_neg_05,B_models_coef_min_05,B_models_coef_max_05,B_models_p_01,B_models_coef_pos_01,B_models_coef_neg_01,B_models_coef_min_01,B_models_coef_max_01,C_models_p_05,C_models_coef_pos_05,C_models_coef_neg_05,C_models_coef_min_05,C_models_coef_max_05,C_models_p_01,C_models_coef_pos_01,C_models_coef_neg_01,C_models_coef_min_01,C_models_coef_max_01,V_models_p_05,V_models_coef_pos_05,V_models_coef_neg_05,V_models_coef_min_05,V_models_coef_max_05,V_models_p_01,V_models_coef_pos_01,V_models_coef_neg_01,V_models_coef_min_01,V_models_coef_max_01,SSV_models_p_05,SSV_models_coef_pos_05,SSV_models_coef_neg_05,SSV_models_coef_min_05,SSV_models_coef_max_05,SSV_models_p_01,SSV_models_coef_pos_01,SSV_models_coef_neg_01,SSV_models_coef_min_01,SSV_models_coef_max_01,PP_models_p_05,PP_models_coef_pos_05,PP_models_coef_neg_05,PP_models_coef_min_05,PP_models_coef_max_05,PP_models_p_01,PP_models_coef_pos_01,PP_models_coef_neg_01,PP_models_coef_min_01,PP_models_coef_max_01,l1_models_p_05,l1_models_coef_pos_05,l1_models_coef_neg_05,l1_models_coef_min_05,l1_models_coef_max_05,l1_models_p_01,l1_models_coef_pos_01,l1_models_coef_neg_01,l1_models_coef_min_01,l1_models_coef_max_01,l2_models_p_05,l2_models_coef_pos_05,l2_models_coef_neg_05,l2_models_coef_min_05,l2_models_coef_max_05,l2_models_p_01,l2_models_coef_pos_01,l2_models_coef_neg_01,l2_models_coef_min_01,l2_models_coef_max_01,l3_models_p_05,l3_models_coef_pos_05,l3_models_coef_neg_05,l3_models_coef_min_05,l3_models_coef_max_05,l3_models_p_01,l3_models_coef_pos_01,l3_models_coef_neg_01,l3_models_coef_min_01,l3_models_coef_max_01,l4_models_p_05,l4_models_coef_pos_05,l4_models_coef_neg_05,l4_models_coef_min_05,l4_models_coef_max_05,l4_models_p_01,l4_models_coef_pos_01,l4_models_coef_neg_01,l4_models_coef_min_01,l4_models_coef_max_01
sp48_11,3,3,0,1.008516,1.475565,1,1,0,1.314144,1.314144,2,2,0,1.008516,1.314144,1,1,0,1.314144,1.314144,1,1,0,1.475565,1.475565,0,0,0,NA,NA,3,3,0,1.008516,1.475565,1,1,0,1.314144,1.314144,0,0,0,NA,NA,0,0,0,NA,NA,1,1,0,1.314144,1.314144,1,1,0,1.314144,1.314144,1,1,0,1.475565,1.475565,0,0,0,NA,NA,1,1,0,1.008516,1.008516,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,3,3,0,1.008516,1.475565,1,1,0,1.314144,1.314144,0,0,0,NA,NA,0,0,0,NA,NA
sp48_24,12,10,2,0.9377458,1.273026,12,10,2,0.9377458,1.273026,6,6,0,1.000513,1.108397,6,6,0,1.000513,1.108397,6,4,2,0.9377458,1.273026,6,4,2,0.9377458,1.273026,2,2,0,1.003538,1.273026,2,2,0,1.003538,1.273026,10,8,2,0.9377458,1.11084,10,8,2,0.9377458,1.11084,6,5,1,0.9377458,1.273026,6,5,1,0.9377458,1.273026,0,0,0,NA,NA,0,0,0,NA,NA,6,5,1,0.9990858,1.003538,6,5,1,0.9990858,1.003538,4,2,2,0.9377458,1.107367,4,2,2,0.9377458,1.107367,4,4,0,1.001501,1.11084,4,4,0,1.001501,1.11084,4,4,0,1.000513,1.273026,4,4,0,1.000513,1.273026,0,0,0,NA,NA,0,0,0,NA,NA
sp48_25,7,0,7,0.8462388,0.9992751,6,0,6,0.8564563,0.9992751,3,0,3,0.9629418,0.9992751,3,0,3,0.9629418,0.9992751,4,0,4,0.8462388,0.9973018,3,0,3,0.8564563,0.9973018,0,0,0,NA,NA,0,0,0,NA,NA,7,0,7,0.8462388,0.9992751,6,0,6,0.8564563,0.9992751,2,0,2,0.8831346,0.9694728,2,0,2,0.8831346,0.9694728,3,0,3,0.8462388,0.9629418,2,0,2,0.8564563,0.9629418,2,0,2,0.9973018,0.9992751,2,0,2,0.9973018,0.9992751,1,0,1,0.8462388,0.8462388,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,6,0,6,0.8564563,0.9992751,6,0,6,0.8564563,0.9992751
sp48_26,12,11,1,0.9980835,1.248783,2,2,0,1.000754,1.040619,6,5,1,0.9980835,1.093545,2,2,0,1.000754,1.040619,6,6,0,1.001487,1.248783,0,0,0,NA,NA,2,1,1,0.9980835,1.248783,0,0,0,NA,NA,10,10,0,1.000754,1.211762,2,2,0,1.000754,1.040619,3,3,0,1.040619,1.093545,1,1,0,1.040619,1.040619,4,4,0,1.121498,1.248783,0,0,0,NA,NA,5,4,1,0.9980835,1.001637,1,1,0,1.000754,1.000754,3,3,0,1.001566,1.211762,0,0,0,NA,NA,1,1,0,1.001637,1.001637,0,0,0,NA,NA,5,5,0,1.000754,1.121498,2,2,0,1.000754,1.040619,3,2,1,0.9980835,1.248783,0,0,0,NA,NA
sp48_27,1,1,0,1.025096,1.025096,0,0,0,NA,NA,1,1,0,1.025096,1.025096,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,1,1,0,1.025096,1.025096,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,1,1,0,1.025096,1.025096,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,1,1,0,1.025096,1.025096,0,0,0,NA,NA
sp48_28,6,0,6,0.965465,0.9993773,1,0,1,0.9973686,0.9973686,4,0,4,0.965465,0.9993773,0,0,0,NA,NA,2,0,2,0.9973686,0.9983849,1,0,1,0.9973686,0.9973686,0,0,0,NA,NA,0,0,0,NA,NA,6,0,6,0.965465,0.9993773,1,0,1,0.9973686,0.9973686,1,0,1,0.9865191,0.9865191,0,0,0,NA,NA,1,0,1,0.965465,0.965465,0,0,0,NA,NA,4,0,4,0.9973686,0.9993773,1,0,1,0.9973686,0.9973686,1,0,1,0.9977116,0.9977116,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,2,0,2,0.9973686,0.9993773,1,0,1,0.9973686,0.9973686,3,0,3,0.965465,0.9983849,0,0,0,NA,NA
sp48_4,10,5,5,1.08e-08,2.177961,8,3,5,1.08e-08,2.177961,4,4,0,1.002472,2.177961,3,3,0,1.010372,2.177961,6,1,5,1.08e-08,1.003816,5,0,5,1.08e-08,0.9955434,0,0,0,NA,NA,0,0,0,NA,NA,10,5,5,1.08e-08,2.177961,8,3,5,1.08e-08,2.177961,3,1,2,1.08e-08,2.177961,3,1,2,1.08e-08,2.177961,2,1,1,0.504913,1.637673,2,1,1,0.504913,1.637673,5,3,2,0.993559,1.010372,3,1,2,0.993559,1.010372,3,0,3,0.468476,0.993559,3,0,3,0.468476,0.993559,4,3,1,0.9955434,2.177961,4,3,1,0.9955434,2.177961,2,2,0,1.002472,1.003816,0,0,0,NA,NA,1,0,1,1.08e-08,1.08e-08,1,0,1,1.08e-08,1.08e-08
sp48_5,2,2,0,1.218253,1.3716,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,2,2,0,1.218253,1.3716,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,2,2,0,1.218253,1.3716,0,0,0,NA,NA,1,1,0,1.218253,1.218253,0,0,0,NA,NA,1,1,0,1.3716,1.3716,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,2,2,0,1.218253,1.3716,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA
sp48_6,3,0,3,0.5260277,0.7378662,0,0,0,NA,NA,1,0,1,0.5260277,0.5260277,0,0,0,NA,NA,2,0,2,0.6013791,0.7378662,0,0,0,NA,NA,3,0,3,0.5260277,0.7378662,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,3,0,3,0.5260277,0.7378662,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,1,0,1,0.5260277,0.5260277,0,0,0,NA,NA,1,0,1,0.6013791,0.6013791,0,0,0,NA,NA,1,0,1,0.7378662,0.7378662,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA
sp48_7,11,7,4,0.9396033,2.697076,5,4,1,0.9967113,2.697076,5,2,3,0.9822937,2.697076,2,1,1,0.9967113,2.697076,6,5,1,0.9396033,2.061874,3,3,0,1.008152,2.061874,8,7,1,0.9967113,2.697076,5,4,1,0.9967113,2.697076,3,0,3,0.9396033,0.999733,0,0,0,NA,NA,5,3,2,0.9396033,2.697076,2,2,0,1.975571,2.697076,1,1,0,2.061874,2.061874,1,1,0,2.061874,2.061874,5,3,2,0.9967113,1.011351,2,1,1,0.9967113,1.008152,5,5,0,1.008152,2.697076,4,4,0,1.008152,2.697076,1,1,0,1.52994,1.52994,0,0,0,NA,NA,1,1,0,1.003794,1.003794,0,0,0,NA,NA,4,0,4,0.9396033,0.999733,1,0,1,0.9967113,0.9967113
sp48_8,2,2,0,1.310869,1.402088,0,0,0,NA,NA,1,1,0,1.310869,1.310869,0,0,0,NA,NA,1,1,0,1.402088,1.402088,0,0,0,NA,NA,2,2,0,1.310869,1.402088,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,2,2,0,1.310869,1.402088,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,2,2,0,1.310869,1.402088,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA
sp75_100,13,13,0,1.00137,3.810218,7,7,0,1.003901,2.714115,7,7,0,1.00137,1.382246,5,5,0,1.003901,1.375938,6,6,0,1.003408,3.810218,2,2,0,1.266348,2.714115,2,2,0,2.714115,3.810218,1,1,0,2.714115,2.714115,11,11,0,1.00137,1.393133,6,6,0,1.003901,1.375938,7,7,0,1.091261,3.810218,5,5,0,1.091261,2.714115,1,1,0,1.382246,1.382246,0,0,0,NA,NA,5,5,0,1.00137,1.005105,2,2,0,1.003901,1.004317,6,6,0,1.004317,3.810218,2,2,0,1.004317,1.375938,2,2,0,1.003901,1.328047,2,2,0,1.003901,1.328047,5,5,0,1.00137,2.714115,3,3,0,1.091261,2.714115,0,0,0,NA,NA,0,0,0,NA,NA
sp75_1002,4,3,1,0.9981489,1.109071,1,1,0,1.000557,1.000557,0,0,0,NA,NA,0,0,0,NA,NA,4,3,1,0.9981489,1.109071,1,1,0,1.000557,1.000557,1,0,1,0.9981489,0.9981489,0,0,0,NA,NA,3,3,0,1.000557,1.109071,1,1,0,1.000557,1.000557,1,1,0,1.027657,1.027657,0,0,0,NA,NA,1,1,0,1.109071,1.109071,0,0,0,NA,NA,2,1,1,0.9981489,1.000557,1,1,0,1.000557,1.000557,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,4,3,1,0.9981489,1.109071,1,1,0,1.000557,1.000557
sp75_1003,13,1,12,0.8583484,1.000214,6,0,6,0.8583484,0.9987,5,0,5,0.9141486,0.9995309,1,0,1,0.9583569,0.9583569,8,1,7,0.8583484,1.000214,5,0,5,0.8583484,0.9987,0,0,0,NA,NA,0,0,0,NA,NA,13,1,12,0.8583484,1.000214,6,0,6,0.8583484,0.9987,6,0,6,0.8822666,0.9913452,4,0,4,0.8822666,0.9640021,3,0,3,0.8583484,0.9141486,1,0,1,0.8583484,0.8583484,4,1,3,0.9987,1.000214,1,0,1,0.9987,0.9987,6,0,6,0.8583484,0.9995309,4,0,4,0.8583484,0.9987,4,0,4,0.884318,0.998965,1,0,1,0.9049762,0.9049762,2,0,2,0.9640021,0.9913452,1,0,1,0.9640021,0.9640021,1,1,0,1.000214,1.000214,0,0,0,NA,NA
sp75_1003_2,8,1,7,0.9219159,3.246075,5,0,5,0.9983752,0.9996703,3,0,3,0.9983752,0.9996703,3,0,3,0.9983752,0.9996703,5,1,4,0.9219159,3.246075,2,0,2,0.9986332,0.9986816,1,1,0,3.246075,3.246075,0,0,0,NA,NA,7,0,7,0.9219159,0.9996703,5,0,5,0.9983752,0.9996703,2,1,1,0.9219159,3.246075,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,6,0,6,0.9983752,0.9996703,5,0,5,0.9983752,0.9996703,2,0,2,0.998627,0.9990115,1,0,1,0.998627,0.998627,2,0,2,0.9983752,0.9986816,2,0,2,0.9983752,0.9986816,3,0,3,0.9219159,0.9996703,2,0,2,0.9986332,0.9996703,1,1,0,3.246075,3.246075,0,0,0,NA,NA
sp75_1311,6,0,6,0.2168187,0.9887419,1,0,1,0.2168187,0.2168187,2,0,2,0.9807788,0.9821923,0,0,0,NA,NA,4,0,4,0.2168187,0.9887419,1,0,1,0.2168187,0.2168187,6,0,6,0.2168187,0.9887419,1,0,1,0.2168187,0.2168187,0,0,0,NA,NA,0,0,0,NA,NA,2,0,2,0.4374859,0.4975435,0,0,0,NA,NA,1,0,1,0.2168187,0.2168187,1,0,1,0.2168187,0.2168187,3,0,3,0.9807788,0.9887419,0,0,0,NA,NA,2,0,2,0.4975435,0.9807788,0,0,0,NA,NA,1,0,1,0.9821923,0.9821923,0,0,0,NA,NA,3,0,3,0.2168187,0.9887419,1,0,1,0.2168187,0.2168187,0,0,0,NA,NA,0,0,0,NA,NA
sp75_1315,11,0,11,0.4124934,0.9887877,4,0,4,0.4124934,0.9887877,5,0,5,0.5468427,0.7169297,1,0,1,0.7027023,0.7027023,6,0,6,0.4124934,0.9887877,3,0,3,0.4124934,0.9887877,3,0,3,0.5468427,0.6098018,0,0,0,NA,NA,8,0,8,0.4124934,0.9887877,4,0,4,0.4124934,0.9887877,4,0,4,0.413901,0.7169297,1,0,1,0.5526177,0.5526177,5,0,5,0.4124934,0.7027023,2,0,2,0.4124934,0.7027023,2,0,2,0.9808492,0.9887877,1,0,1,0.9887877,0.9887877,0,0,0,NA,NA,0,0,0,NA,NA,3,0,3,0.5526177,0.9887877,2,0,2,0.5526177,0.9887877,7,0,7,0.4124934,0.9808492,2,0,2,0.4124934,0.7027023,1,0,1,0.5763116,0.5763116,0,0,0,NA,NA
sp75_1316,10,0,10,0.2211051,0.991746,2,0,2,0.4191353,0.991746,7,0,7,0.2211051,0.991746,1,0,1,0.991746,0.991746,3,0,3,0.3720082,0.9891925,1,0,1,0.4191353,0.4191353,8,0,8,0.2211051,0.991746,2,0,2,0.4191353,0.991746,2,0,2,0.7623408,0.7624126,0,0,0,NA,NA,2,0,2,0.7623408,0.7624126,0,0,0,NA,NA,4,0,4,0.2211051,0.5920688,1,0,1,0.4191353,0.4191353,4,0,4,0.9735151,0.991746,1,0,1,0.991746,0.991746,3,0,3,0.2211051,0.7623408,0,0,0,NA,NA,2,0,2,0.7624126,0.9735151,0,0,0,NA,NA,3,0,3,0.4191353,0.991746,2,0,2,0.4191353,0.991746,2,0,2,0.5920688,0.98814,0,0,0,NA,NA
sp75_1318,14,2,12,3.15e-09,3.423139,14,2,12,3.15e-09,3.423139,6,0,6,7.49e-09,0.9947649,6,0,6,7.49e-09,0.9947649,8,2,6,3.15e-09,3.423139,8,2,6,3.15e-09,3.423139,2,0,2,0.0027245,0.992762,2,0,2,0.0027245,0.992762,12,2,10,3.15e-09,3.423139,12,2,10,3.15e-09,3.423139,1,0,1,0.0027245,0.0027245,1,0,1,0.0027245,0.0027245,6,1,5,3.15e-09,3.423139,6,1,5,3.15e-09,3.423139,7,1,6,0.4765019,1.048263,7,1,6,0.4765019,1.048263,2,2,0,1.048263,3.423139,2,2,0,1.048263,3.423139,3,0,3,6.97e-08,0.4765019,3,0,3,6.97e-08,0.4765019,4,0,4,3.15e-09,0.4866182,4,0,4,3.15e-09,0.4866182,5,0,5,0.6842995,0.9947649,5,0,5,0.6842995,0.9947649
sp75_1322,9,9,0,1.249894,4.7e+09,6,6,0,1.82998,4.7e+09,4,4,0,1.249894,1.5e+08,2,2,0,1.990212,1.5e+08,5,5,0,1.824831,4.7e+09,4,4,0,1.82998,4.7e+09,0,0,0,NA,NA,0,0,0,NA,NA,9,9,0,1.249894,4.7e+09,6,6,0,1.82998,4.7e+09,6,6,0,1.249894,3.076237,3,3,0,1.82998,3.076237,3,3,0,4.400182,4.7e+09,3,3,0,4.400182,4.7e+09,0,0,0,NA,NA,0,0,0,NA,NA,1,1,0,4.400182,4.400182,1,1,0,4.400182,4.400182,2,2,0,1.564008,1.82998,1,1,0,1.82998,1.82998,4,4,0,1.249894,4.7e+09,2,2,0,1.5e+08,4.7e+09,2,2,0,1.990212,3.076237,2,2,0,1.990212,3.076237
sp75_1400,4,3,1,0.9979205,1.170827,1,1,0,1.14959,1.14959,3,3,0,1.036783,1.170827,1,1,0,1.14959,1.14959,1,0,1,0.9979205,0.9979205,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,4,3,1,0.9979205,1.170827,1,1,0,1.14959,1.14959,0,0,0,NA,NA,0,0,0,NA,NA,3,3,0,1.036783,1.170827,1,1,0,1.14959,1.14959,1,0,1,0.9979205,0.9979205,0,0,0,NA,NA,1,1,0,1.170827,1.170827,0,0,0,NA,NA,2,1,1,0.9979205,1.14959,1,1,0,1.14959,1.14959,1,1,0,1.036783,1.036783,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA
sp75_1400_1,2,0,2,0.1151191,0.3803084,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,2,0,2,0.1151191,0.3803084,0,0,0,NA,NA,2,0,2,0.1151191,0.3803084,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,2,0,2,0.1151191,0.3803084,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,1,0,1,0.1151191,0.1151191,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,1,0,1,0.3803084,0.3803084,0,0,0,NA,NA
sp75_1403_10,30,30,0,1.0001,11.29805,14,14,0,1.000109,1.090347,14,14,0,1.0001,11.29805,5,5,0,1.000109,1.051802,16,16,0,1.000329,2.233641,9,9,0,1.000329,1.090347,14,14,0,1.001563,11.29805,4,4,0,1.001563,1.017424,16,16,0,1.0001,1.090347,10,10,0,1.000109,1.090347,5,5,0,1.003157,1.308289,0,0,0,NA,NA,11,11,0,1.013673,11.29805,5,5,0,1.013673,1.090347,14,14,0,1.0001,1.017424,9,9,0,1.000109,1.017424,8,8,0,1.000301,2.233641,3,3,0,1.000803,1.084119,8,8,0,1.000378,11.29805,4,4,0,1.000991,1.090347,9,9,0,1.0001,1.534261,4,4,0,1.000389,1.042054,5,5,0,1.000109,1.135636,3,3,0,1.000109,1.001563
sp75_1403_5,14,0,14,0.945946,0.9999723,3,0,3,0.9855392,0.9993036,9,0,9,0.9855392,0.9999723,2,0,2,0.9855392,0.9976568,5,0,5,0.945946,0.9997219,1,0,1,0.9993036,0.9993036,0,0,0,NA,NA,0,0,0,NA,NA,14,0,14,0.945946,0.9999723,3,0,3,0.9855392,0.9993036,5,0,5,0.9855392,0.9986562,1,0,1,0.9855392,0.9855392,3,0,3,0.945946,0.9976568,1,0,1,0.9976568,0.9976568,6,0,6,0.9993036,0.9999723,1,0,1,0.9993036,0.9993036,4,0,4,0.945946,0.9997319,1,0,1,0.9993036,0.9993036,2,0,2,0.9855392,0.9997091,1,0,1,0.9855392,0.9855392,3,0,3,0.9962802,0.9999246,0,0,0,NA,NA,5,0,5,0.9923132,0.9999723,1,0,1,0.9976568,0.9976568
sp75_1403_6,7,4,3,0.9648686,1.093277,3,1,2,0.9648686,1.003912,3,2,1,0.9990999,1.003912,1,1,0,1.003912,1.003912,4,2,2,0.9648686,1.093277,2,0,2,0.9648686,0.9769077,2,1,1,0.9990999,1.093277,0,0,0,NA,NA,5,3,2,0.9648686,1.011501,3,1,2,0.9648686,1.003912,2,1,1,0.9769077,1.093277,1,0,1,0.9769077,0.9769077,3,2,1,0.9648686,1.011501,2,1,1,0.9648686,1.003912,2,1,1,0.9990999,1.000035,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,2,0,2,0.9648686,0.9769077,2,0,2,0.9648686,0.9769077,1,1,0,1.093277,1.093277,0,0,0,NA,NA,4,3,1,0.9990999,1.011501,1,1,0,1.003912,1.003912
sp75_1403_7,11,1,10,0.3480221,1.133703,6,0,6,0.3480221,0.9960567,3,0,3,0.3480221,0.9734152,2,0,2,0.3480221,0.9734152,8,1,7,0.5703817,1.133703,4,0,4,0.6450364,0.9960567,8,0,8,0.3480221,0.9960567,4,0,4,0.3480221,0.9960567,3,1,2,0.9260632,1.133703,2,0,2,0.9260632,0.9734152,3,0,3,0.5703817,0.8834362,1,0,1,0.6450364,0.6450364,6,1,5,0.3480221,1.133703,4,0,4,0.3480221,0.9734152,2,0,2,0.9924448,0.9960567,1,0,1,0.9960567,0.9960567,2,0,2,0.4005471,0.5703817,0,0,0,NA,NA,2,1,1,0.3480221,1.133703,1,0,1,0.3480221,0.3480221,2,0,2,0.6450364,0.9924448,1,0,1,0.6450364,0.6450364,5,0,5,0.7115216,0.9960567,4,0,4,0.7115216,0.9960567
